case_ID,Activity_ID,Activity_Name,Owner,Outcome,Timestamp
1,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
1,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
1,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
1,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
1,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
1,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
1,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
1,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
1,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
1,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
1,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
1,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
1,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
1,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
1,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
1,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
1,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
1,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
1,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
1,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
1,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
1,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
2,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
2,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
2,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
2,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
2,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
2,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
2,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
2,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
2,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
2,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
2,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
2,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
2,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
2,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
2,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
2,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
2,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
2,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
2,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
2,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
2,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
2,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
3,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
3,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
3,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
3,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
3,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
3,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
3,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
3,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
3,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
3,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
3,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
3,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
3,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
3,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
3,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
3,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
3,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
3,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
3,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
3,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
3,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
3,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
4,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
4,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
4,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
4,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
4,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
4,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
4,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
4,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
4,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
4,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
4,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
4,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
4,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
4,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
4,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
4,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
4,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
4,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
4,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
4,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
4,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
4,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
